year,fempgr_gr,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1991,d) (-0.2 to -0.01],365815,808580,27559445,28706116,44214,5.513,31074,3.875,1666713,718559,948154,2.503,5.806,3960637,573174,3387463,1.997,13.797,-2293924,-7.991,11.612,0,0,0
1991,e) (-0.01 to 0.01),1458926,1567076,10932880,10932931,9057,0.579,3438,0.220,346960,141389,205571,1.293,3.174,346387,61079,285308,0.559,3.168,573,0.005,6.337,0,0,0
1991,f) [0.01 to 0.2),358928,745623,27312832,26298113,48941,6.718,14786,2.030,3344370,929896,2414474,3.536,12.717,1314690,277886,1036804,1.057,4.999,2029680,7.718,9.998,0,0,0
1991,g) [0.2 to 0.8),660629,774778,11340740,9598555,28951,3.796,4690,0.615,3772824,633152,3139672,6.596,39.306,276303,77095,199208,0.803,2.879,3496521,36.428,5.757,0,0,0
1991,h) [0.8 to 2),135785,146587,2225882,1398693,6059,4.217,260,0.181,1674926,130387,1544539,9.322,119.749,9470,3334,6136,0.238,0.677,1665456,119.072,1.354,0,0,0
1991,i) 2,533861,540180,2898836,1449418,540180,200.000,0,0.000,2898836,2898836,0,200.000,200.000,0,0,0,0.000,0.000,2898836,200.000,0.000,0,0,0
1992,a) -2,0,0,0,1595623,0,0.000,527813,200.000,0,0,0,0.000,0.000,3191245,3191245,0,200.000,200.000,-3191245,-200.000,0.000,415346,426543,2694229
1992,b) (-2 to -0.8],148381,156999,598061,1592759,589,0.367,7150,4.461,11207,5720,5487,0.359,0.704,2014873,178407,1836466,11.201,126.502,-2003666,-125.798,1.407,0,0,0
1992,c) (-0.8 to -0.2],668436,775736,7354038,9026938,7782,0.995,21014,2.686,231863,96142,135721,1.065,2.569,3588026,335509,3252517,3.717,39.748,-3356163,-37.179,5.137,0,0,0
1992,d) (-0.2 to -0.01],353608,796063,26862601,27938717,28652,3.567,43116,5.367,1718365,603661,1114704,2.161,6.150,3867594,879669,2987925,3.149,13.843,-2149229,-7.693,12.301,0,0,0
1992,e) (-0.01 to 0.01),1492841,1606804,11863035,11862507,7244,0.451,8305,0.517,466287,144697,321590,1.220,3.931,464943,115665,349278,0.975,3.919,1344,0.011,7.839,0,0,0
1992,f) [0.01 to 0.2),371940,752598,27539457,26490499,35611,4.783,19454,2.613,3431323,742728,2688595,2.804,12.953,1336383,348972,987411,1.317,5.045,2094940,7.908,10.090,0,0,0
1992,g) [0.2 to 0.8),701006,822134,11593060,9754247,24292,2.987,6402,0.787,3900389,438180,3462209,4.492,39.987,216886,62481,154405,0.641,2.224,3683503,37.763,4.447,0,0,0
1992,h) [0.8 to 2),150238,167673,2715190,1708596,9054,5.537,731,0.447,2036075,202963,1833112,11.879,119.167,10550,4470,6080,0.262,0.617,2025525,118.549,1.235,0,0,0
1992,i) 2,527111,537224,2907734,1453867,537224,200.000,0,0.000,2907734,2907734,0,200.000,200.000,0,0,0,0.000,0.000,2907734,200.000,0.000,0,0,0
